x,y,z,color
0.30645782,6.895301,5.5162406,1
0.15322891,5.5162406,7.6614456,1
-0.6129156,5.209783,7.6614456,1
2.2984335,4.2904096,8.121132,1
-0.9193735,7.5082164,4.903325,1
-2.7581203,7.201759,5.209783,1
-1.2258313,6.435614,6.2823853,1
1.9919758,5.5162406,7.5082164,1
-0.3064578,6.435614,5.9759274,1
-1.2258313,7.8146744,4.596867,1
-1.2258313,7.201759,5.66947,1
-0.9193735,7.0485296,5.8226986,1
0.15322891,6.2823853,6.129156,1
2.1452048,6.2823853,6.435614,1
0.61291564,8.121132,4.2904096,1
2.2984335,5.9759274,7.0485296,1
3.217807,3.6774938,8.274361,1
3.064578,4.2904096,8.121132,1
1.2258313,6.742072,5.056554,1
0,8.121132,4.2904096,1
-7.5082164,2.1452048,9.500193,0
-8.580819,-0.1532289,6.129156,0
-11.951855,-2.1452048,10.113108,0
-13.024457,-1.8387469,9.80665,0
-11.492168,-2.9113493,9.346964,0
-10.113108,1.0726024,7.6614456,0
-9.193734,-6.129156,8.274361,0
-1.9919758,-4.7500963,2.6048915,0
-5.363012,-3.371036,4.2904096,0
-6.588843,-5.9759274,7.967903,0
-9.500193,-6.588843,6.588843,0
-13.637373,-6.2823853,13.330915,0
-9.193734,1.532289,7.3549876,0
-13.943831,-7.3549876,13.637373,0
-8.580819,-5.5162406,9.959879,0
-14.250289,-2.7581203,11.492168,0
-13.484144,-6.742072,14.403518,0
-10.266336,-6.895301,7.201759,0
-13.484144,-2.6048915,10.726024,0
-14.250289,-5.363012,10.572795,0
-19.460072,-19.460072,7.0485296,-1
-19.460072,-18.387468,2.4516625,-1
-19.460072,-7.967903,17.774553,-1
-1.532289,-19.460072,-0.9193735,-1
-19.460072,12.564771,2.2984335,-1
-19.460072,-19.460072,7.6614456,-1
-1.8387469,-15.016433,4.903325,-1
-19.000385,9.80665,7.5082164,-1
-19.460072,-3.064578,18.387468,-1
-19.460072,-19.460072,13.330915,-1
-19.460072,4.1371803,3.8307228,-1
-19.460072,2.7581203,0.61291564,-1
-19.460072,-3.9839516,7.201759,-1
-17.314867,16.242264,1.685518,-1
-18.540697,19.000385,11.645397,-1
-19.460072,8.42759,11.645397,-1
-19.460072,-2.9113493,8.121132,-1
-6.895301,-9.959879,4.903325,-1
-19.460072,-19.460072,5.209783,-1
-8.580819,-6.2823853,7.0485296,-1
